,maximum_capability,total_net_generation,dispatched_contingency_reserve,category_COGENERATION,category_COMBINED CYCLE,category_ENERGY STORAGE,category_GAS FIRED STEAM,category_HYDRO,category_OTHER,category_SIMPLE CYCLE,category_SOLAR,category_TOTAL,category_WIND,efficiency_ratio,optimization_potential
maximum_capability,1.0,0.9793563039819849,0.8064426438999541,0.0751992353667124,-0.035374287044304446,-0.228030939601661,-0.07972689770499082,-0.19184044131950365,-0.21417074877019643,-0.18722037770901545,-0.14409978401112591,0.9510092937949194,0.054254946999166026,0.24428372185029107,0.9800458397742472
total_net_generation,0.9793563039819849,1.0,0.7531506457837841,0.21995596038754062,0.018806417199709494,-0.22829408063466095,-0.18112588215642517,-0.207600935495822,-0.20029747250564356,-0.2267725258450404,-0.08952828382127062,0.9134806334965674,-0.01862383062495494,0.3819175547803687,0.9196340589313858
dispatched_contingency_reserve,0.8064426438999541,0.7531506457837841,1.0,-0.18149364684050714,-0.18149364684050714,0.20965645410886172,-0.08761762261265867,0.006258401615189894,-0.19713965087848184,-0.03285660847974699,-0.22843165895443138,0.921549637836713,-0.22843165895443138,-0.2017693699517833,0.8263838888804896
category_COGENERATION,0.0751992353667124,0.21995596038754062,-0.18149364684050714,1.0,-0.11111111111111112,-0.11111111111111108,-0.11111111111111106,-0.11111111111111106,-0.11111111111111108,-0.11111111111111106,-0.11111111111111108,-0.1111111111111111,-0.11111111111111104,0.4101644064247324,-0.0701712270841578
category_COMBINED CYCLE,-0.035374287044304446,0.018806417199709494,-0.18149364684050714,-0.11111111111111112,1.0,-0.11111111111111108,-0.11111111111111106,-0.11111111111111106,-0.11111111111111108,-0.11111111111111106,-0.11111111111111108,-0.1111111111111111,-0.11111111111111112,0.2776813506228847,-0.08722777268670363
category_ENERGY STORAGE,-0.228030939601661,-0.22829408063466095,0.20965645410886172,-0.11111111111111108,-0.11111111111111108,1.0,-0.11111111111111113,-0.11111111111111108,-0.11111111111111108,-0.11111111111111108,-0.11111111111111108,-0.11111111111111113,-0.11111111111111108,-0.48787322475466643,-0.2185930975905214
category_GAS FIRED STEAM,-0.07972689770499082,-0.18112588215642517,-0.08761762261265867,-0.11111111111111106,-0.11111111111111106,-0.11111111111111113,1.0,-0.1111111111111111,-0.1111111111111111,-0.11111111111111106,-0.1111111111111111,-0.11111111111111116,-0.11111111111111102,-0.30071891612972085,0.023190917266619326
category_HYDRO,-0.19184044131950365,-0.207600935495822,0.006258401615189894,-0.11111111111111106,-0.11111111111111106,-0.11111111111111108,-0.1111111111111111,1.0,-0.11111111111111108,-0.11111111111111106,-0.11111111111111104,-0.1111111111111111,-0.11111111111111106,-0.20518472498966925,-0.16862041135148367
category_OTHER,-0.21417074877019643,-0.20029747250564356,-0.19713965087848184,-0.11111111111111108,-0.11111111111111108,-0.11111111111111108,-0.1111111111111111,-0.11111111111111108,1.0,-0.11111111111111108,-0.11111111111111108,-0.1111111111111111,-0.11111111111111108,0.2570506419847763,-0.2191915728748213
category_SIMPLE CYCLE,-0.18722037770901545,-0.2267725258450404,-0.03285660847974699,-0.11111111111111106,-0.11111111111111106,-0.11111111111111108,-0.11111111111111106,-0.11111111111111106,-0.11111111111111108,1.0,-0.11111111111111106,-0.1111111111111111,-0.11111111111111106,-0.46898845679152784,-0.14079131063154052
category_SOLAR,-0.14409978401112591,-0.08952828382127062,-0.22843165895443138,-0.11111111111111108,-0.11111111111111108,-0.11111111111111108,-0.1111111111111111,-0.11111111111111104,-0.11111111111111108,-0.11111111111111106,1.0,-0.1111111111111111,-0.11111111111111108,0.44125735903175795,-0.19196094743917796
category_TOTAL,0.9510092937949194,0.9134806334965674,0.921549637836713,-0.1111111111111111,-0.1111111111111111,-0.11111111111111113,-0.11111111111111116,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,1.0,-0.1111111111111111,0.11429423223314113,0.9496306573627924
category_WIND,0.054254946999166026,-0.01862383062495494,-0.22843165895443138,-0.11111111111111104,-0.11111111111111112,-0.11111111111111108,-0.11111111111111102,-0.11111111111111106,-0.11111111111111108,-0.11111111111111106,-0.11111111111111108,-0.1111111111111111,1.0,-0.03768266763170837,0.12373476502899462
efficiency_ratio,0.24428372185029107,0.3819175547803687,-0.2017693699517833,0.4101644064247324,0.2776813506228847,-0.48787322475466643,-0.30071891612972085,-0.20518472498966925,0.2570506419847763,-0.46898845679152784,0.44125735903175795,0.11429423223314113,-0.03768266763170837,1.0,0.09911112692131589
optimization_potential,0.9800458397742472,0.9196340589313858,0.8263838888804896,-0.0701712270841578,-0.08722777268670363,-0.2185930975905214,0.023190917266619326,-0.16862041135148367,-0.2191915728748213,-0.14079131063154052,-0.19196094743917796,0.9496306573627924,0.12373476502899462,0.09911112692131589,1.0
